Total,49457
"Afghanistan",6
"Albania",41
"Algeria",33
"Andorra",5
"Angola",3
"Argentina",329
"Armenia",43
"Australia",1171
"Austria",408
"Azerbaijan",29
"Bahamas",2
"Bahrain",6
"Bangladesh",240
"Barbados",3
"Belarus",132
"Belgium",392
"Benin",2
"Bhutan",3
"Bolivia",16
"Bosnia and Herzegovina",58
"Botswana",2
"Brazil",1370
"Bulgaria",206
"Burundi",1
"Cambodia",16
"Cameroon",12
"Canada",1986
"Chile",116
"China",279
"Colombia",204
"Congo, Republic of the...",2
"Costa Rica",59
"Croatia",115
"Cuba",27
"Cyprus",22
"Czech Republic",403
"Côte d'Ivoire",1
"Democratic Republic of the Congo",2
"Denmark",372
"Dominica",1
"Dominican Republic",58
"Ecuador",29
"Egypt",144
"El Salvador",24
"Eritrea",1
"Estonia",106
"Ethiopia",18
"Fiji",5
"Finland",310
"France",1452
"Gabon",1
"Gambia",2
"Georgia",30
"Germany",3436
"Ghana",27
"Greece",247
"Guatemala",28
"Guyana",1
"Haiti",1
"Honduras",10
"Hong Kong (S.A.R.)",92
"Hungary",230
"Iceland",23
"India",4196
"Indonesia",204
"Iran, Islamic Republic of...",340
"Iraq",11
"Ireland",317
"Israel",472
"Italy",760
"Jamaica",7
"Japan",175
"Jordan",36
"Kazakhstan",51
"Kenya",65
"Kuwait",9
"Kyrgyzstan",9
"Latvia",86
"Lebanon",42
"Lesotho",1
"Libyan Arab Jamahiriya",4
"Liechtenstein",2
"Lithuania",140
"Luxembourg",34
"Madagascar",9
"Malawi",2
"Malaysia",146
"Maldives",4
"Malta",37
"Marshall Islands",1
"Mauritius",12
"Mexico",397
"Mongolia",8
"Montenegro",8
"Morocco",62
"Mozambique",8
"Myanmar",15
"Namibia",2
"Nepal",83
"Netherlands",1036
"New Zealand",319
"Nicaragua",12
"Nigeria",139
"Norway",337
"Oman",8
"Other Country (Not Listed Above)",41
"Pakistan",407
"Panama",17
"Paraguay",29
"Peru",48
"Philippines",174
"Poland",1071
"Portugal",294
"Qatar",6
"Republic of Korea",15
"Republic of Moldova",32
"Romania",380
"Russian Federation",1323
"Rwanda",6
"Saint Lucia",1
"Saudi Arabia",47
"Senegal",3
"Serbia",183
"Sierra Leone",1
"Singapore",154
"Slovakia",117
"Slovenia",120
"Somalia",4
"South Africa",373
"South Korea",57
"Spain",979
"Sri Lanka",172
"Sudan",9
"Suriname",1
"Swaziland",3
"Sweden",731
"Switzerland",560
"Syrian Arab Republic",20
"Taiwan",69
"Tajikistan",2
"Thailand",71
"The former Yugoslav Republic of Macedonia",25
"Togo",2
"Trinidad and Tobago",11
"Tunisia",44
"Turkey",408
"Turkmenistan",1
"Uganda",27
"Ukraine",495
"United Arab Emirates",76
"United Kingdom",3754
"United Republic of Tanzania",18
"United States",12830
"Uruguay",50
"Uzbekistan",18
"Venezuela, Bolivarian Republic of...",61
"Viet Nam",92
"Yemen",7
"Zambia",2
"Zimbabwe",17
